Track_ID,_TargetID,_Day,_Trial,_Arena,Strain,Probe,strategy,name,confidence,1,2,3,4,5,6,7,8,9,path.length,total.time,velocity,distance.from.goal,distance.from.old.goal,initial.heading.error,initial.trajectory.error,initial.reversal.error,efficiency,roaming.entropy,latency.to.goal,latency.to.old.goal,time.in.wall.zone,time.in.far.wall.zone,time.in.annulus.zone,time.in.goal.zone,time.in.old.goal.zone,time.in.n.quadrant,time.in.e.quadrant,time.in.s.quadrant,time.in.w.quadrant,goal.crossings,old.goal.crossings,CIPL_Scores,Date,Age(months),Phase
Track_836_2m ,22_2m ,6,35,Arena_Reversal,SHAM,FALSE,6,directed search,0.506153846,0.003076923,0.012307692,0.012307692,0.241538462,0.115384615,0.506153846,0.089230769,0.004615385,0.015384615,1271.198844,14.572,92.56404795,85.97189767,171.2273075,17.52552405,51.24423169,164.0563503,43.75,0.816928905,14.572,,3.014896552,4.019862069,4.145482759,0.12562069,0,6.657896552,3.76862069,0,4.145482759,1,0,5.09,,2,Reversal
Track_837_2m ,23_2m ,6,34,Arena_Reversal,SHAM,FALSE,6,directed search,0.403076923,0.001538462,0.009230769,0.006153846,0.098461538,0.061538462,0.403076923,0.378461538,0.036923077,0.004615385,684.4755127,7.232,97.48517991,63.47421061,221.4966449,30.72676236,80.36452017,277.3506086,0,0.731181196,7.232,,2.791298246,2.791298246,1.015017544,0.126877193,0,6.470736842,0.761263158,0,0,1,0,1.51,,2,Reversal
Track_838_2m ,23_2m ,6,35,Arena_Reversal,SHAM,FALSE,7,corrected path,0.443076923,0.003076923,0.013846154,0.013846154,0.047692308,0.033846154,0.327692308,0.443076923,0.107692308,0.009230769,413.3079659,4.4,99.41452975,126.2843646,161.0181136,114.6594945,168.4332688,95.08355326,0,0.677861777,4.4,,1.664864865,0.594594595,0.475675676,0.118918919,0,1.664864865,0,0,2.735135135,1,0,1.94,,2,Reversal
Track_839_2m ,24_2m ,6,34,Arena_Reversal,SHAM,FALSE,6,directed search,0.395384615,0.001538462,0.001538462,0.015384615,0.227692308,0.267692308,0.395384615,0.067692308,0.006153846,0.016923077,1240.675772,14.21,89.04737864,148.5654179,107.9954186,84.6698255,166.2404525,95.76561552,0,0.814400819,14.21,2.336,4.077652174,2.100608696,4.942608696,0.123565217,0.864956522,3.954086957,3.33626087,5.313304348,1.606347826,1,2,7.22,,2,Reversal
Track_840_2m ,24_2m ,6,35,Arena_Reversal,SHAM,FALSE,7,corrected path,0.463076923,0.006153846,0.006153846,0.001538462,0.026153846,0.006153846,0.256923077,0.463076923,0.229230769,0.004615385,363.9762097,4.4,90.5119148,138.9313458,94.41996621,67.58847154,117.9866477,129.6278211,25,0.667781657,4.4,,1.505263158,0.347368421,0.578947368,0.115789474,0,1.389473684,1.852631579,1.157894737,0,1,0,1.39,,2,Reversal
Track_841_2m ,1_2m ,6,36,Arena_Reversal,OVX,FALSE,7,corrected path,0.521538462,0.001538462,0.003076923,0.001538462,0.030769231,0.033846154,0.290769231,0.521538462,0.113846154,0.003076923,481.7943881,5.76,81.74003965,85.2179674,173.8417852,24.70344153,64.07395069,151.9105136,11.53846154,0.710404585,5.76,,2.328510638,2.328510638,1.102978723,0.122553191,0,2.818723404,0,0.122553191,2.818723404,1,0,1.21,,2,Reversal
Track_842_2m ,1_2m ,6,37,Arena_Reversal,OVX,FALSE,7,corrected path,0.453846154,0,0,0.003076923,0.026153846,0.004615385,0.32,0.453846154,0.192307692,0,421.6989427,5.424,80.0388694,68.11604245,124.1684326,9.771730585,42.94689848,120.3372016,54.16666667,0.676704382,5.424,,0,0.923234043,1.615659574,0.115404255,0,2.077276596,3.115914894,0.230808511,0,1,0,0.8,,2,Reversal
Track_843_2m ,2_2m ,6,36,Arena_Reversal,OVX,FALSE,7,corrected path,0.503076923,0,0.003076923,0.003076923,0.032307692,0.021538462,0.275384615,0.503076923,0.127692308,0.033846154,410.7293777,5.168,85.84920677,128.6085764,70.52510396,16.62474092,110.1086741,33.84584347,28.57142857,0.67972458,5.168,1.44,0.961488372,0.961488372,2.043162791,0.120186047,0.480744186,1.201860465,0,2.40372093,1.562418605,1,1,1.2,,2,Reversal
Track_844_2m ,2_2m ,6,37,Arena_Reversal,OVX,FALSE,7,corrected path,0.450769231,0,0.003076923,0,0.023076923,0.003076923,0.163076923,0.450769231,0.352307692,0.004615385,207.4383253,2.208,99.44224837,95.29090627,185.681657,19.94828209,49.50973735,211.3608859,31.25,0.591489272,2.208,,0,1.5456,0.6624,0.1104,0,0.9936,0,0,1.2144,1,0,0.27,,2,Reversal
Track_845_2m ,3_2m ,6,36,Arena_Reversal,OVX,FALSE,6,directed search,0.472307692,0.001538462,0.006153846,0.003076923,0.08,0.06,0.472307692,0.353846154,0.021538462,0.001538462,819.0818312,9.971,88.38343718,61.61383931,218.1424991,21.5816146,72.41723947,153.3715099,42.10526316,0.750053032,9.971,,3.4515,3.195833333,2.301,0.127833333,0,7.67,2.301,0,0,1,0,2.01,,2,Reversal
Track_846_2m ,3_2m ,6,37,Arena_Reversal,OVX,FALSE,7,corrected path,0.446153846,0.021538462,0.004615385,0.009230769,0.010769231,0.02,0.232307692,0.446153846,0.252307692,0.003076923,302.601658,8.272,159.3468559,70.34741301,258.1055252,78.24807676,153.3845528,269.0552398,0,0.459327277,8.272,,5.908571429,1.181714286,1.181714286,1.181714286,0,4.726857143,0,0,3.545142857,1,0,2.54,,2,Reversal
Track_847_2m ,4_2m ,6,36,Arena_Reversal,OVX,FALSE,7,corrected path,0.444615385,0,0.003076923,0.001538462,0.018461538,0.007692308,0.184615385,0.444615385,0.336923077,0.003076923,292.9150791,5.073,59.40847085,104.6654297,166.0459509,21.91454256,62.43270838,186.0514097,44.82758621,0.629525407,5.073,,1.237317073,1.608512195,2.227170732,0.123731707,0,1.979707317,3.093292683,0,0,1,0,0.9,,2,Reversal
Track_848_2m ,4_2m ,6,37,Arena_Reversal,OVX,FALSE,7,corrected path,0.412307692,0.04,0.010769231,0.007692308,0.043076923,0.012307692,0.363076923,0.412307692,0.109230769,0.001538462,485.9172434,11.572,39.078125,99.93893531,246.3464101,56.5974957,143.9445229,216.6167146,0,0.619225703,11.572,,6.666478261,2.893,2.012521739,0.125782609,0,9.433695652,0,0,2.138304348,1,0,3.25,,2,Reversal
Track_849_2m ,5_2m ,6,36,Arena_Reversal,OVX,FALSE,7,corrected path,0.575384615,0,0.003076923,0.001538462,0.016923077,0.010769231,0.169230769,0.575384615,0.22,0.003076923,348.3948076,4.447,69.96960205,141.0172172,161.8929753,50.92907927,100.5728991,163.9123487,0,0.647881406,4.447,,1.682648649,0.841324324,1.923027027,0.120189189,0,1.322081081,0,0.600945946,2.523972973,1,0,1.06,,2,Reversal
Track_850_2m ,5_2m ,6,37,Arena_Reversal,OVX,FALSE,6,directed search,0.421538462,0.001538462,0.013846154,0.006153846,0.027692308,0.015384615,0.421538462,0.421538462,0.090769231,0.001538462,475.065224,7.169,64.20632714,70.92740098,129.3893373,96.44038966,130.5382933,134.7953375,23.07692308,0.670079488,7.169,,1.579610169,0.850559322,0.607542373,0.121508475,0,2.794694915,3.766762712,0,0.607542373,1,0,2.27,,2,Reversal
Track_851_2m ,6_2m ,6,36,Arena_Reversal,OVX,FALSE,7,corrected path,0.436923077,0,0.001538462,0.001538462,0.003076923,0.001538462,0.130769231,0.436923077,0.423076923,0.001538462,24.4971243,0.543,47.55130495,9.274803009,175.2328235,61.8255276,23.34003195,193.4132288,0,0.336212273,0.543,,0,0,0.543,0.0905,0,0.543,0,0,0,1,0,0.02,,2,Reversal
Track_852_2m ,6_2m ,6,37,Arena_Reversal,OVX,FALSE,6,directed search,0.476923077,0.003076923,0.013846154,0.013846154,0.336923077,0.107692308,0.476923077,0.035384615,0.003076923,0.009230769,1424.685708,19.503,78.13243168,76.66825937,200.8156926,73.04066922,133.4191142,141.9953767,0,0.815682152,19.503,,6.876057692,4.000615385,4.250653846,0.125019231,0,11.37675,7.626173077,0.500076923,0,1,0,6.05,,2,Reversal
Track_853_2m ,7_2m ,6,36,Arena_Reversal,OVX,FALSE,7,corrected path,0.516923077,0,0.003076923,0.001538462,0.032307692,0.004615385,0.193846154,0.516923077,0.244615385,0.003076923,231.692958,2.513,99.88083002,102.100637,156.7260674,65.55416913,92.38818141,184.50916,0,0.605937474,2.513,,0.571136364,0.342681818,0.456909091,0.114227273,0,0.799590909,0,0,1.713409091,1,0,0.56,,2,Reversal
Track_854_2m ,7_2m ,6,37,Arena_Reversal,OVX,FALSE,7,corrected path,0.407692308,0.018461538,0.010769231,0.006153846,0.02,0.015384615,0.189230769,0.407692308,0.330769231,0.001538462,211.8753978,2.512,89.06409301,97.06917539,250.5573928,51.51920267,84.16248073,225.5709691,0,0.597012219,2.512,,1.826909091,0.570909091,0.114181818,0.114181818,0,1.941090909,0.570909091,0,0,1,0,0.54,,2,Reversal
Track_855_2m ,8_2m ,6,36,Arena_Reversal,OVX,FALSE,6,directed search,0.418461538,0,0.001538462,0,0.044615385,0.098461538,0.418461538,0.401538462,0.024615385,0.010769231,585.3870703,7.68,77.49937135,75.19111566,176.941785,25.16188178,114.0325746,14.13294352,36,0.73465554,7.536,0.401,1.486451613,2.105806452,2.477419355,0.247741935,0.371612903,4.211612903,0,1.610322581,1.858064516,1,1,1.44,,2,Reversal
Track_856_2m ,8_2m ,6,37,Arena_Reversal,OVX,FALSE,7,corrected path,0.455384615,0,0.001538462,0.003076923,0.024615385,0.001538462,0.192307692,0.455384615,0.316923077,0.004615385,230.4240719,2.529,98.77125722,101.4557067,120.9952916,33.41822667,60.60377927,121.2665379,11.76470588,0.603588524,2.529,,0,0.574772727,0.459818182,0.114954545,0,0.919636364,0,0,1.609363636,1,0,0.32,,2,Reversal
Track_857_2m ,9_2m ,6,36,Arena_Reversal,OVX,FALSE,7,corrected path,0.443076923,0.02,0.013846154,0.003076923,0.033846154,0.003076923,0.166153846,0.443076923,0.315384615,0.001538462,328.5068255,5.535,72.36078229,60.80360131,237.8207721,8.484581487,46.03453142,298.4498082,66.66666667,0.609174334,5.535,,2.583,1.845,1.107,0.123,0,5.043,0,0,0.492,1,0,1.02,,2,Reversal
Track_858_2m ,9_2m ,6,37,Arena_Reversal,OVX,FALSE,7,corrected path,0.476923077,0.003076923,0.012307692,0.004615385,0.035384615,0.010769231,0.221538462,0.476923077,0.233846154,0.001538462,305.6856716,4.063,78.54925285,70.86945783,217.4985806,26.46598662,70.52326608,289.274197,33.33333333,0.640111269,4.063,,1.5535,2.2705,0.239,0.1195,0,2.629,1.434,0,0,1,0,0.91,,2,Reversal
Track_859_2m ,10_2m ,6,36,Arena_Reversal,OVX,FALSE,6,directed search,0.416923077,0,0.010769231,0.006153846,0.063076923,0.021538462,0.416923077,0.407692308,0.056923077,0.016923077,525.9943611,7.408,69.90507515,76.25926164,94.36756341,47.00370953,156.5416083,81.32055645,0,0.692338403,7.408,,0,0,1.04175,0.11575,0,3.0095,0.57875,2.315,1.50475,1,0,2.08,,2,Reversal
