Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : time (s),Q1 : distance (m),Q2 : time (s),Q2 : distance (m),Q3 : time (s),Q3 : distance (m),Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : latency to first entry (s),Platform : time getting closer to zone (s),Platform : path efficiency to entry,Platform : CIPL (m·s)
69,5,NSF,A,Spatial,3,Pool,10.7,3.265,0.304,0.313,5.0,1.506,0.7,0.191,0.9,0.266,4.1,1.301,1,10.7,6.9,0.301,5.81
70,5,NSF,A,Spatial,4,Pool,2.8,1.069,0.383,0.810,0.0,0.000,2.1,0.820,0.7,0.249,0.0,0.000,1,2.8,2.3,0.810,0.48
71,6,NSF,A,Spatial,3,Pool,7.5,2.974,0.399,0.148,0.0,0.000,2.3,0.992,4.1,1.644,1.1,0.337,1,7.4,4.6,0.145,2.44
72,6,NSF,A,Spatial,4,Pool,18.8,7.093,0.377,0.160,3.7,1.130,5.6,2.357,9.5,3.606,0.0,0.000,1,18.8,10.3,0.158,7.39
73,7,NSF,A,Spatial,3,Pool,60.0,18.908,0.315,0.044,22.9,6.499,15.3,5.303,13.9,4.404,7.9,2.702,0,,32.7,,
74,7,NSF,A,Spatial,4,Pool,10.3,2.801,0.272,0.429,1.2,0.289,5.1,1.469,4.0,1.043,0.0,0.000,1,10.3,6.7,0.372,3.56
75,8,NSF,A,Spatial,3,Pool,1.7,0.563,0.329,0.838,0.0,0.000,0.0,0.000,1.7,0.563,0.0,0.000,1,1.7,1.3,0.791,0.13
76,8,NSF,A,Spatial,4,Pool,16.0,5.796,0.362,0.193,7.3,2.685,5.2,1.846,0.8,0.252,2.6,1.013,1,16.0,9.1,0.179,10.67
77,9,NSF,A,Spatial,3,Pool,15.3,5.705,0.372,0.134,3.1,1.100,2.5,0.966,4.7,1.748,5.1,1.891,1,15.3,9.9,0.107,5.79
78,9,NSF,A,Spatial,4,Pool,10.2,4.152,0.407,0.180,0.0,0.000,1.3,0.588,5.0,2.113,3.9,1.451,1,10.2,5.8,0.165,3.64
79,10,NSF,A,Spatial,3,Pool,9.6,3.133,0.327,0.282,0.4,0.149,4.8,1.541,3.6,1.210,0.8,0.233,1,9.6,6.5,0.273,2.83
80,10,NSF,A,Spatial,4,Pool,12.1,4.147,0.343,0.109,0.0,0.000,0.0,0.000,7.2,2.247,4.9,1.900,1,12.1,6.4,0.103,4.66
81,11,NSF,A,Spatial,3,Pool,60.0,17.056,0.284,0.090,30.2,8.822,10.8,2.858,14.5,3.780,4.5,1.597,0,,31.0,,
82,11,NSF,A,Spatial,4,Pool,60.0,15.553,0.259,0.096,25.6,5.817,21.9,5.437,4.0,1.436,8.5,2.862,0,,30.1,,
83,12,NSF,A,Spatial,3,Pool,21.1,6.411,0.303,0.102,10.4,2.631,3.5,1.284,6.7,2.304,0.6,0.193,1,21.1,10.8,0.079,13.99
84,12,NSF,A,Spatial,4,Pool,7.3,2.583,0.355,0.383,4.3,1.705,1.3,0.246,0.8,0.260,0.8,0.372,1,7.3,4.9,0.381,4.71
85,13,NSF,A,Spatial,3,Pool,45.9,14.019,0.305,0.055,6.9,2.139,11.2,3.122,13.4,4.154,14.4,4.604,1,45.9,25.1,0.044,24.64
86,13,NSF,A,Spatial,4,Pool,3.2,0.838,0.258,0.698,0.0,0.000,0.0,0.000,3.2,0.838,0.0,0.000,1,3.2,2.7,0.562,0.19
87,14,NSF,A,Spatial,3,Pool,4.5,1.403,0.309,0.660,1.6,0.466,0.8,0.248,0.8,0.267,1.3,0.422,1,4.5,3.5,0.608,1.12
88,14,NSF,A,Spatial,4,Pool,5.9,2.217,0.376,0.572,1.8,0.612,0.0,0.000,2.9,1.069,1.2,0.535,1,5.9,4.3,0.511,1.09
89,15,NSF,A,Spatial,3,Pool,3.5,1.155,0.333,0.728,0.0,0.000,1.5,0.445,2.0,0.710,0.0,0.000,1,3.5,3.0,0.655,0.55
90,15,NSF,A,Spatial,4,Pool,23.9,8.875,0.371,0.109,8.6,3.001,6.1,2.527,3.3,1.165,5.9,2.182,1,23.9,11.5,0.093,15.60
