Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q2 : entries,Q2 : time (s),Q3 : entries,Q3 : time (s),Q4 : entries,Q4 : time (s),Platform : entries,Platform : CIPL (m·s)
160,20,b,B,Spatial,6,Pool,8.8,3.512,0.397,0.316,1,2.0,0,0.0,2,3.7,3,3.1,1,3.05
161,21,b,B,Spatial,5,Pool,6.9,2.299,0.334,0.407,1,0.3,2,2.4,1,4.1,0,0.0,1,1.20
162,21,b,B,Spatial,6,Pool,8.9,2.918,0.326,0.312,1,3.5,0,0.0,2,2.1,2,3.3,1,3.81
163,22,b,B,Spatial,5,Pool,17.0,6.244,0.368,0.057,1,1.5,2,5.3,3,8.6,1,1.6,1,6.99
164,22,b,B,Spatial,6,Pool,45.4,15.044,0.331,0.085,5,16.4,4,10.8,4,10.4,4,7.8,1,28.31
165,23,b,B,Spatial,5,Pool,7.2,2.200,0.308,0.221,1,2.0,0,0.0,2,2.7,2,2.4,1,2.67
166,23,b,B,Spatial,6,Pool,5.6,1.921,0.341,0.564,1,1.9,0,0.0,1,0.8,2,3.0,1,1.92
167,24,b,B,Spatial,5,Pool,3.6,1.274,0.356,0.502,0,0.0,1,2.6,1,0.9,0,0.0,1,0.97
168,24,b,B,Spatial,6,Pool,3.3,1.058,0.325,0.941,1,1.6,0,0.0,1,1.4,1,0.2,1,-0.01
169,25,b,B,Spatial,5,Pool,15.2,5.890,0.388,0.179,2,5.7,2,5.6,1,2.8,1,1.1,1,9.37
170,25,b,B,Spatial,6,Pool,7.3,3.075,0.420,0.266,1,0.7,1,3.3,1,0.9,1,2.4,1,3.36
171,26,b,B,Spatial,5,Pool,21.9,8.495,0.387,0.145,2,3.1,2,4.3,3,9.4,2,5.2,1,10.08
172,26,b,B,Spatial,6,Pool,2.0,0.698,0.352,0.819,0,0.0,0,0.0,1,2.0,0,0.0,1,0.15
173,27,b,B,Spatial,5,Pool,6.0,1.798,0.297,0.421,1,0.8,1,1.2,2,2.1,2,1.9,1,1.41
174,27,b,B,Spatial,6,Pool,6.8,2.477,0.364,0.236,1,1.9,2,4.1,1,0.8,0,0.0,1,3.39
