Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
67,4,NSF,A,Spatial,3,Pool,5/22/2023,60.0,18.041,0.301,0.002,2,10.3,2.757,4,15.7,4.760,5,25.3,7.580,4,8.7,2.944,0,
68,4,NSF,A,Spatial,4,Pool,5/22/2023,60.0,12.132,0.202,0.043,5,26.9,5.546,6,32.4,6.311,0,0.0,0.000,1,0.7,0.275,0,
69,5,NSF,A,Spatial,3,Pool,5/22/2023,60.0,19.436,0.324,0.053,6,17.1,5.354,4,15.6,4.389,3,9.9,3.533,4,17.5,6.160,0,
70,5,NSF,A,Spatial,4,Pool,5/22/2023,4.1,0.949,0.234,0.666,1,4.0,0.949,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.50
71,6,NSF,A,Spatial,3,Pool,5/22/2023,60.0,20.781,0.346,0.008,4,13.7,5.275,5,14.7,4.937,4,17.1,5.190,4,14.5,5.379,0,
72,6,NSF,A,Spatial,4,Pool,5/22/2023,60.0,16.835,0.281,0.020,2,7.2,2.582,2,4.7,1.939,4,31.5,7.371,3,16.7,4.943,0,
73,7,NSF,A,Spatial,3,Pool,5/22/2023,35.3,10.480,0.297,0.050,5,20.2,5.119,3,7.4,2.441,1,2.7,1.295,2,5.0,1.624,1,18.93
74,7,NSF,A,Spatial,4,Pool,5/22/2023,7.9,2.420,0.308,0.401,1,4.1,1.290,1,3.7,1.130,0,0.0,0.000,0,0.0,0.000,1,2.22
75,8,NSF,A,Spatial,3,Pool,5/22/2023,60.0,17.063,0.284,0.032,4,19.3,4.872,2,7.6,2.570,4,10.1,3.360,6,23.0,6.261,0,
76,8,NSF,A,Spatial,4,Pool,5/22/2023,60.0,13.662,0.228,0.102,4,26.0,5.126,3,11.3,3.717,2,13.2,2.783,2,9.5,2.036,0,
77,9,NSF,A,Spatial,3,Pool,5/22/2023,60.0,14.642,0.244,0.084,3,15.8,3.609,3,27.2,5.754,2,6.9,2.537,2,10.0,2.742,0,
78,9,NSF,A,Spatial,4,Pool,5/22/2023,5.1,1.533,0.302,0.593,1,1.6,0.350,0,0.0,0.000,0,0.0,0.000,1,3.5,1.184,1,1.46
79,10,NSF,A,Spatial,3,Pool,5/22/2023,60.0,20.731,0.346,0.065,6,18.6,6.695,5,18.1,6.200,3,8.7,3.215,5,14.7,4.622,0,
80,10,NSF,A,Spatial,4,Pool,5/22/2023,26.9,6.548,0.243,0.182,1,14.9,2.609,2,4.4,1.311,2,7.6,2.628,0,0.0,0.000,1,12.63
81,11,NSF,A,Spatial,3,Pool,5/22/2023,60.0,18.799,0.313,0.086,5,17.7,5.744,4,17.8,4.851,4,12.1,4.446,5,12.4,3.757,0,
82,11,NSF,A,Spatial,4,Pool,5/22/2023,32.9,10.226,0.311,0.116,5,12.9,4.292,4,11.3,2.856,1,4.3,1.348,2,4.5,1.731,1,17.03
83,12,NSF,A,Spatial,3,Pool,5/22/2023,36.4,10.690,0.293,0.071,2,3.9,1.502,2,10.9,3.146,2,14.3,3.620,2,7.3,2.422,1,27.89
84,12,NSF,A,Spatial,4,Pool,5/22/2023,15.6,5.955,0.382,0.143,2,4.0,1.384,2,6.1,2.063,1,2.7,1.242,1,2.8,1.266,1,9.78
85,13,NSF,A,Spatial,3,Pool,5/22/2023,30.7,8.475,0.276,0.117,2,5.5,1.695,2,13.6,2.489,2,7.6,2.610,2,4.0,1.682,1,23.50
86,13,NSF,A,Spatial,4,Pool,5/22/2023,60.0,16.514,0.275,0.013,3,13.1,4.077,4,22.4,4.926,5,15.0,4.114,3,9.6,3.397,0,
87,14,NSF,A,Spatial,3,Pool,5/22/2023,60.0,18.021,0.300,0.062,4,7.9,1.870,6,18.9,5.989,4,23.2,6.974,2,10.0,3.188,0,
88,14,NSF,A,Spatial,4,Pool,5/22/2023,60.0,14.761,0.246,0.013,3,9.3,2.879,3,28.2,5.393,3,15.2,3.873,2,7.3,2.616,0,
89,15,NSF,A,Spatial,3,Pool,5/22/2023,60.0,16.134,0.269,0.059,2,6.1,2.681,4,25.7,4.877,5,21.7,5.793,3,6.5,2.783,0,
90,15,NSF,A,Spatial,4,Pool,5/22/2023,60.0,11.958,0.199,0.009,0,0.0,0.000,1,2.3,1.014,6,45.1,8.667,4,12.7,2.278,0,
91,16,NSF,A,Spatial,3,Pool,5/22/2023,60.0,17.985,0.300,0.069,4,18.8,5.363,4,17.2,5.527,3,8.1,2.306,4,15.8,4.789,0,
92,16,NSF,A,Spatial,4,Pool,5/22/2023,7.9,2.175,0.274,0.384,1,4.0,1.298,1,3.9,0.878,0,0.0,0.000,0,0.0,0.000,1,2.88
93,17,NSF,A,Spatial,3,Pool,5/22/2023,60.0,16.722,0.279,0.001,5,18.4,4.859,5,23.9,6.906,3,12.1,3.251,2,5.6,1.705,0,
94,17,NSF,A,Spatial,4,Pool,5/22/2023,24.6,6.389,0.260,0.194,1,1.2,0.304,1,19.3,4.864,1,4.1,1.221,0,0.0,0.000,1,16.93
95,18,NSF,A,Spatial,3,Pool,5/22/2023,60.0,17.233,0.287,0.088,4,16.2,5.066,2,9.2,2.564,2,9.3,3.047,4,25.3,6.556,0,
96,18,NSF,A,Spatial,4,Pool,5/22/2023,60.0,15.213,0.254,0.066,4,18.1,4.165,3,15.8,3.715,3,9.5,3.105,4,16.5,4.228,0,
97,19,NSF,A,Spatial,3,Pool,5/22/2023,60.0,19.915,0.332,0.067,5,18.9,5.976,5,15.9,5.300,4,14.4,4.450,4,10.9,4.189,0,
98,19,NSF,A,Spatial,4,Pool,5/22/2023,11.9,3.759,0.316,0.255,1,2.7,0.661,2,4.9,1.809,1,4.3,1.288,0,0.0,0.000,1,8.65
99,20,NSF,A,Spatial,3,Pool,5/22/2023,60.0,14.937,0.249,0.050,2,4.8,1.434,2,5.6,2.029,4,32.1,6.768,4,17.5,4.706,0,
100,20,NSF,A,Spatial,4,Pool,5/22/2023,60.0,14.358,0.239,0.022,2,4.5,1.476,4,14.3,4.270,4,8.4,2.304,3,32.8,6.309,0,
101,21,NSF,A,Spatial,3,Pool,5/22/2023,60.0,16.218,0.270,0.091,6,17.3,4.655,3,11.3,3.753,3,8.6,2.970,6,22.7,4.840,0,
102,21,NSF,A,Spatial,4,Pool,5/22/2023,10.7,3.077,0.288,0.413,1,2.7,0.534,0,0.0,0.000,1,4.5,1.224,1,3.5,1.318,1,6.12
103,22,NSF,A,Spatial,3,Pool,5/22/2023,60.0,18.007,0.300,0.078,3,8.5,3.144,4,7.1,2.012,6,25.1,7.309,5,19.3,5.541,0,
104,22,NSF,A,Spatial,4,Pool,5/22/2023,41.3,11.678,0.283,0.062,3,7.2,2.066,2,5.9,1.947,3,10.1,3.132,4,18.0,4.533,1,29.03
105,23,NSF,A,Spatial,3,Pool,5/22/2023,15.7,4.998,0.318,0.173,2,4.7,1.910,0,0.0,0.000,0,0.0,0.000,2,11.0,3.088,1,7.30
106,23,NSF,A,Spatial,4,Pool,5/22/2023,60.0,25.341,0.422,0.026,5,16.1,6.542,5,14.8,6.268,5,13.3,5.641,6,15.7,6.890,0,
107,24,NSF,A,Spatial,3,Pool,5/22/2023,60.0,18.383,0.306,0.028,4,16.9,5.446,2,6.1,2.035,4,11.3,3.371,6,25.6,7.532,0,
108,24,NSF,A,Spatial,4,Pool,5/22/2023,7.9,2.239,0.284,0.476,1,0.8,0.211,0,0.0,0.000,1,1.6,0.290,2,5.5,1.738,1,4.43
109,25,NSF,A,Spatial,3,Pool,5/22/2023,60.0,19.129,0.319,0.071,4,15.6,4.197,4,14.3,4.954,4,19.3,6.129,4,10.8,3.850,0,
110,25,NSF,A,Spatial,4,Pool,5/22/2023,60.0,13.807,0.230,0.074,3,17.6,3.759,3,6.5,2.016,3,16.0,3.854,4,19.9,4.177,0,
111,26,NSF,A,Spatial,3,Pool,5/22/2023,60.0,14.370,0.239,0.083,2,7.6,2.193,1,3.9,1.303,6,25.2,4.049,7,23.4,6.824,0,
112,26,NSF,A,Spatial,4,Pool,5/22/2023,17.1,6.074,0.355,0.179,2,4.5,1.593,2,5.9,2.043,1,3.7,1.332,1,2.9,1.106,1,9.95
113,27,NSF,A,Spatial,3,Pool,5/22/2023,9.6,2.941,0.305,0.282,2,5.1,1.726,1,3.0,0.567,0,0.0,0.000,1,1.6,0.648,1,3.48
114,27,NSF,A,Spatial,4,Pool,5/22/2023,60.0,19.107,0.318,0.025,4,15.7,5.106,3,8.5,2.758,5,16.0,5.503,6,19.7,5.741,0,
115,28,NSF,A,Spatial,3,Pool,5/22/2023,11.6,2.490,0.215,0.452,1,0.9,0.268,0,0.0,0.000,1,9.0,1.372,1,1.6,0.850,1,8.89
116,28,NSF,A,Spatial,4,Pool,5/22/2023,12.4,4.727,0.380,0.148,1,4.9,1.809,1,3.7,1.217,1,0.9,0.471,1,2.8,1.230,1,5.86
117,29,NSF,A,Spatial,3,Pool,5/22/2023,60.0,19.948,0.332,0.009,3,8.7,3.157,2,6.0,2.498,5,12.4,4.277,7,32.9,10.017,0,
118,29,NSF,A,Spatial,4,Pool,5/22/2023,25.0,9.116,0.365,0.112,3,5.5,1.974,1,3.9,1.366,3,6.1,2.177,5,9.5,3.598,1,16.42
119,30,NSF,A,Spatial,3,Pool,5/22/2023,60.0,21.340,0.356,0.028,6,12.3,4.922,4,10.4,3.586,4,18.4,6.148,6,18.9,6.684,0,
120,30,NSF,A,Spatial,4,Pool,5/22/2023,35.4,11.017,0.311,0.062,4,13.8,4.282,5,14.7,4.340,2,5.6,1.912,1,1.3,0.483,1,18.15
121,1,NSF,A,Spatial,5,Pool,5/22/2023,14.7,4.673,0.318,0.266,2,4.1,1.577,1,4.1,1.337,1,4.9,1.310,1,1.5,0.448,1,8.00
122,1,NSF,A,Spatial,6,Pool,5/22/2023,18.9,5.847,0.309,0.106,4,12.3,3.764,3,4.4,1.319,0,0.0,0.000,1,2.1,0.764,1,6.73
123,2,NSF,A,Spatial,5,Pool,5/22/2023,60.0,20.100,0.335,0.060,7,24.7,8.552,5,13.6,4.376,3,5.5,1.641,5,16.2,5.532,0,
124,2,NSF,A,Spatial,6,Pool,5/22/2023,11.4,3.865,0.340,0.240,2,6.4,2.146,1,0.1,0.058,1,1.4,0.598,2,3.4,1.063,1,3.79
125,3,NSF,A,Spatial,5,Pool,5/22/2023,17.4,5.428,0.311,0.198,2,6.3,1.902,3,6.1,2.009,2,3.7,0.991,1,1.3,0.527,1,8.52
126,3,NSF,A,Spatial,6,Pool,5/22/2023,4.7,1.031,0.220,0.462,1,4.7,1.031,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.98
127,4,NSF,A,Spatial,5,Pool,5/22/2023,60.0,16.902,0.282,0.061,4,15.6,4.058,4,16.7,4.821,4,21.6,5.517,4,6.2,2.506,0,
128,4,NSF,A,Spatial,6,Pool,5/22/2023,12.4,3.011,0.242,0.210,1,8.4,1.814,0,0.0,0.000,0,0.0,0.000,1,4.0,1.197,1,4.47
129,5,NSF,A,Spatial,5,Pool,5/22/2023,8.5,2.596,0.305,0.516,1,2.8,0.754,1,3.5,1.209,1,2.2,0.633,0,0.0,0.000,1,3.73
130,5,NSF,A,Spatial,6,Pool,5/22/2023,28.6,9.795,0.343,0.116,3,11.1,3.383,2,4.5,1.555,2,3.6,1.577,3,9.4,3.280,1,14.11
131,6,NSF,A,Spatial,5,Pool,5/22/2023,16.9,6.624,0.391,0.068,2,2.4,0.660,2,5.2,2.136,2,5.6,2.323,2,3.7,1.505,1,11.66
132,6,NSF,A,Spatial,6,Pool,5/22/2023,43.3,14.776,0.341,0.055,4,15.2,4.488,5,10.5,3.410,3,9.8,3.956,2,7.8,2.922,1,25.65
133,7,NSF,A,Spatial,5,Pool,5/22/2023,46.7,14.079,0.301,0.089,3,23.8,5.874,3,12.3,4.421,2,8.4,2.945,1,2.1,0.839,1,23.57
134,7,NSF,A,Spatial,6,Pool,5/22/2023,8.7,3.038,0.350,0.411,1,3.2,0.942,1,2.5,1.077,1,2.1,0.967,1,0.8,0.051,1,3.23
135,8,NSF,A,Spatial,5,Pool,5/22/2023,60.0,14.709,0.245,0.014,6,33.4,6.585,3,5.8,1.552,1,2.9,1.252,3,17.9,5.320,0,
136,8,NSF,A,Spatial,6,Pool,5/22/2023,60.0,10.330,0.172,0.042,4,18.7,2.769,0,0.0,0.000,0,0.0,0.000,5,41.3,7.561,0,
137,9,NSF,A,Spatial,5,Pool,5/22/2023,60.0,22.372,0.373,0.069,5,14.5,5.157,5,20.9,7.190,4,12.1,4.854,4,12.5,5.171,0,
138,9,NSF,A,Spatial,6,Pool,5/22/2023,37.2,11.551,0.310,0.099,7,17.7,5.868,4,12.3,3.904,1,1.1,0.388,3,6.1,1.392,1,15.18
139,10,NSF,A,Spatial,5,Pool,5/22/2023,25.3,8.536,0.338,0.125,2,8.9,2.509,2,6.8,2.424,2,7.2,2.517,1,2.3,1.087,1,15.11
140,10,NSF,A,Spatial,6,Pool,5/22/2023,24.1,6.380,0.265,0.045,4,12.6,3.683,1,2.0,0.380,0,0.0,0.000,2,9.5,2.317,1,11.46
141,11,NSF,A,Spatial,5,Pool,5/22/2023,49.1,15.735,0.321,0.034,3,15.5,3.959,2,6.1,2.507,2,11.2,4.126,2,16.3,5.143,1,32.04
142,11,NSF,A,Spatial,6,Pool,5/22/2023,60.0,15.757,0.263,0.045,7,24.3,5.409,9,26.9,7.259,2,5.6,2.002,1,3.2,1.087,0,
143,12,NSF,A,Spatial,5,Pool,5/22/2023,60.0,19.636,0.327,0.023,4,17.3,5.404,4,14.2,3.862,3,12.5,4.527,4,16.0,5.843,0,
144,12,NSF,A,Spatial,6,Pool,5/22/2023,6.9,2.032,0.295,0.537,1,1.6,0.288,1,3.5,1.201,1,1.8,0.543,0,0.0,0.000,1,2.50
145,13,NSF,A,Spatial,5,Pool,5/22/2023,60.0,17.148,0.286,0.069,4,12.1,4.320,3,7.6,2.609,3,17.1,4.886,4,23.3,5.333,0,
146,13,NSF,A,Spatial,6,Pool,5/22/2023,60.0,13.516,0.225,0.081,6,34.6,7.059,4,15.2,3.893,1,1.8,0.483,3,8.4,2.081,0,
147,14,NSF,A,Spatial,5,Pool,5/22/2023,60.0,14.482,0.241,0.099,3,10.3,2.128,4,12.3,3.308,3,30.4,6.823,2,7.1,2.224,0,
148,14,NSF,A,Spatial,6,Pool,5/22/2023,60.0,15.185,0.253,0.038,2,10.3,3.386,3,18.9,4.010,4,15.7,3.652,4,15.1,4.137,0,
149,15,NSF,A,Spatial,5,Pool,5/22/2023,3.3,0.966,0.293,0.635,1,0.8,0.205,0,0.0,0.000,0,0.0,0.000,1,2.5,0.761,1,0.72
