Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : latency to first entry (s),Platform : time getting closer to zone (s),Platform : path efficiency to entry,Platform : CIPL (m·s)
84,2,A,A,Spatial,12,Pool,10.1,2.447,0.241,0.289,2,7.0,1.703,1,2.3,0.502,0,0.0,0.000,1,0.8,0.241,1,10.1,5.8,0.228,3.14
85,3,A,A,Spatial,11,Pool,14.1,3.374,0.239,0.157,1,1.9,0.399,2,5.7,1.496,1,6.5,1.480,0,0.0,0.000,1,14.1,7.0,0.152,10.56
86,3,A,A,Spatial,12,Pool,3.0,1.058,0.353,0.966,1,1.1,0.337,1,0.7,0.296,1,1.3,0.426,0,0.0,0.000,1,3.0,2.3,0.882,0.10
87,4,A,A,Spatial,11,Pool,9.0,2.638,0.293,0.500,2,2.9,0.928,1,1.7,0.564,1,1.6,0.167,1,2.7,0.979,1,9.0,6.5,0.442,2.81
88,4,A,A,Spatial,12,Pool,60.0,13.679,0.228,0.098,3,20.1,3.438,4,22.2,5.342,3,13.9,3.559,1,3.7,1.341,0,,31.7,,
89,5,A,A,Spatial,11,Pool,1.6,0.378,0.230,0.903,1,1.0,0.287,1,0.6,0.091,0,0.0,0.000,0,0.0,0.000,1,1.6,1.2,0.884,0.06
90,5,A,A,Spatial,12,Pool,3.7,1.063,0.290,0.849,1,1.2,0.302,1,2.5,0.762,0,0.0,0.000,0,0.0,0.000,1,3.7,3.0,0.842,0.36
91,6,A,A,Spatial,11,Pool,60.0,17.424,0.290,0.015,3,11.3,2.898,3,10.1,3.036,5,25.6,7.368,4,12.9,4.122,0,,31.5,,
92,6,A,A,Spatial,12,Pool,11.0,3.443,0.314,0.276,1,1.2,0.293,1,2.0,0.688,1,4.4,1.341,1,3.3,1.121,1,10.9,6.5,0.232,8.50
93,7,A,A,Spatial,11,Pool,60.0,15.830,0.264,0.060,3,9.2,2.581,3,11.7,3.098,4,16.1,4.714,4,23.1,5.437,0,,32.9,,
94,7,A,A,Spatial,12,Pool,13.7,3.144,0.230,0.092,2,8.9,2.037,1,4.8,1.107,0,0.0,0.000,0,0.0,0.000,1,13.7,7.7,0.088,4.58
95,8,A,A,Spatial,11,Pool,16.1,4.871,0.303,0.169,2,4.4,1.439,1,0.8,0.315,1,4.5,1.389,2,6.3,1.728,1,16.0,10.4,0.167,9.31
96,8,A,A,Spatial,12,Pool,60.0,16.710,0.279,0.033,4,15.1,3.901,3,12.0,3.944,3,19.5,4.606,4,13.4,4.259,0,,29.4,,
97,1,A,A,Spatial,13,Pool,60.0,11.617,0.194,0.099,5,30.9,5.658,4,13.0,2.602,1,10.5,1.418,2,5.6,1.939,0,,33.8,,
98,1,A,A,Spatial,14,Pool,60.0,12.636,0.211,0.096,2,9.8,2.390,2,20.5,3.782,2,14.3,3.179,1,15.3,3.286,0,,32.0,,
99,2,A,A,Spatial,13,Pool,60.0,13.248,0.221,0.008,2,17.1,3.414,3,21.2,4.692,4,11.1,2.491,2,10.6,2.652,0,,30.7,,
100,2,A,A,Spatial,14,Pool,60.0,11.118,0.185,0.136,4,13.7,2.441,4,23.5,3.346,2,14.1,2.847,3,8.7,2.485,0,,30.6,,
101,3,A,A,Spatial,13,Pool,50.1,11.431,0.228,0.044,2,7.1,1.622,2,4.7,1.247,3,22.8,4.424,3,15.5,4.138,1,50.1,25.1,0.041,42.80
102,3,A,A,Spatial,14,Pool,11.7,3.364,0.288,0.115,2,5.4,1.527,0,0.0,0.000,1,2.1,0.747,2,4.2,1.090,1,11.7,6.6,0.111,5.70
103,4,A,A,Spatial,13,Pool,21.4,3.564,0.167,0.235,2,6.5,1.499,1,10.6,1.122,0,0.0,0.000,1,4.3,0.942,1,21.4,12.8,0.204,10.34
104,4,A,A,Spatial,14,Pool,60.0,13.916,0.232,0.049,3,12.8,3.049,4,19.4,3.701,5,14.7,3.149,4,13.2,4.017,0,,29.9,,
105,5,A,A,Spatial,13,Pool,5.0,1.568,0.312,0.347,1,1.1,0.240,1,4.0,1.328,0,0.0,0.000,0,0.0,0.000,1,5.0,3.1,0.304,2.12
106,5,A,A,Spatial,14,Pool,11.3,3.344,0.297,0.288,3,6.8,1.871,2,2.4,0.816,1,1.1,0.353,1,0.9,0.303,1,11.2,7.2,0.246,2.70
107,6,A,A,Spatial,13,Pool,60.0,15.626,0.260,0.069,1,6.3,1.380,1,3.7,1.038,4,29.7,7.949,3,20.3,5.258,0,,35.5,,
108,6,A,A,Spatial,14,Pool,13.7,3.886,0.284,0.155,1,1.7,0.454,1,4.5,1.190,1,5.1,1.531,1,2.4,0.710,1,13.7,8.6,0.128,10.02
109,7,A,A,Spatial,13,Pool,60.0,14.212,0.237,0.084,3,22.4,5.000,3,11.5,2.692,2,15.9,3.660,3,10.2,2.860,0,,28.6,,
110,7,A,A,Spatial,14,Pool,60.0,14.119,0.235,0.027,5,15.3,3.369,4,17.1,4.494,3,13.3,2.576,4,14.3,3.680,0,,28.8,,
111,8,A,A,Spatial,13,Pool,60.0,13.675,0.228,0.114,4,21.3,4.756,4,15.2,3.327,2,16.1,3.654,2,7.4,1.939,0,,28.4,,
112,8,A,A,Spatial,14,Pool,17.4,5.020,0.289,0.261,1,1.9,0.311,1,1.7,0.557,2,5.9,1.905,1,7.9,2.247,1,17.4,11.6,0.240,9.99
113,1,A,A,Spatial,15,Pool,10.7,3.323,0.311,0.378,1,2.0,0.645,1,4.1,1.257,1,4.1,1.369,1,0.5,0.051,1,10.7,7.9,0.346,6.64
114,1,A,A,Spatial,16,Pool,6.2,1.800,0.290,0.692,1,1.9,0.450,1,2.8,1.105,1,1.5,0.246,0,0.0,0.000,1,6.2,4.7,0.627,1.70
115,2,A,A,Spatial,15,Pool,13.4,4.387,0.327,0.207,2,5.0,1.800,1,6.1,1.919,0,0.0,0.000,1,2.3,0.668,1,13.4,8.2,0.196,6.22
116,2,A,A,Spatial,16,Pool,60.0,15.931,0.266,0.099,5,23.6,6.051,4,14.6,4.331,3,8.3,1.683,4,13.6,3.867,0,,29.8,,
117,3,A,A,Spatial,15,Pool,5.3,2.070,0.394,0.433,1,0.9,0.311,1,0.4,0.171,1,1.6,0.702,1,2.3,0.886,1,5.2,3.7,0.362,2.68
118,3,A,A,Spatial,16,Pool,29.1,8.377,0.288,0.071,3,8.9,2.394,2,4.9,1.358,2,9.5,2.552,3,5.9,2.074,1,29.0,15.6,0.057,18.91
119,4,A,A,Spatial,15,Pool,17.8,4.793,0.269,0.227,2,7.2,2.046,1,5.7,1.395,1,1.7,0.354,2,3.1,0.998,1,17.8,10.5,0.196,7.43
120,4,A,A,Spatial,16,Pool,6.3,1.470,0.234,0.436,1,1.7,0.375,1,4.6,1.095,0,0.0,0.000,0,0.0,0.000,1,6.3,4.0,0.342,2.43
121,5,A,A,Spatial,15,Pool,18.9,5.577,0.295,0.176,2,7.2,1.877,3,6.8,2.068,1,4.8,1.631,0,0.0,0.000,1,18.9,10.6,0.152,9.14
122,5,A,A,Spatial,16,Pool,23.5,7.072,0.302,0.154,2,6.6,2.023,3,11.2,3.663,2,5.4,1.331,1,0.2,0.054,1,23.4,12.4,0.148,13.37
123,6,A,A,Spatial,15,Pool,15.6,5.987,0.383,0.110,2,2.5,0.885,3,7.1,2.563,2,3.6,1.562,1,2.4,0.977,1,15.6,9.6,0.110,10.32
124,6,A,A,Spatial,16,Pool,48.1,14.273,0.297,0.052,4,14.7,3.999,4,7.9,2.593,3,14.0,4.207,3,11.6,3.473,1,48.1,27.6,0.042,30.86
125,7,A,A,Spatial,15,Pool,30.6,8.621,0.282,0.143,2,4.9,1.485,2,6.3,1.649,4,13.5,3.691,3,5.9,1.796,1,30.6,16.3,0.140,21.44
126,7,A,A,Spatial,16,Pool,31.1,10.334,0.332,0.099,3,9.7,3.068,2,7.3,2.476,2,6.1,2.049,3,7.9,2.742,1,31.1,17.0,0.085,18.52
127,8,A,A,Spatial,15,Pool,13.7,3.943,0.287,0.241,2,6.8,1.809,1,2.7,0.922,0,0.0,0.000,1,4.3,1.211,1,13.7,7.6,0.239,4.38
128,8,A,A,Spatial,16,Pool,55.6,15.471,0.278,0.064,3,19.3,4.911,4,13.9,3.879,4,11.6,3.858,3,10.8,2.823,1,55.6,30.3,0.060,32.92
129,1,A,A,Spatial,17,Pool,18.5,5.445,0.295,0.194,2,1.2,0.322,2,3.1,1.235,2,9.7,2.345,1,4.5,1.544,1,18.5,9.4,0.180,13.94
130,1,A,A,Spatial,18,Pool,60.0,15.358,0.256,0.098,6,29.9,7.368,3,8.0,2.726,2,12.3,1.925,4,9.7,3.340,0,,26.8,,
131,2,A,A,Spatial,17,Pool,60.0,10.434,0.174,0.009,3,10.0,1.889,4,38.9,4.536,2,6.2,2.234,2,4.9,1.774,0,,27.4,,
132,2,A,A,Spatial,18,Pool,57.3,9.504,0.166,0.096,3,14.5,3.110,3,31.5,3.723,2,4.9,1.277,2,6.3,1.394,1,57.2,29.7,0.090,32.94
133,3,A,A,Spatial,17,Pool,32.9,9.093,0.276,0.074,3,13.2,3.069,3,5.7,1.686,2,6.0,1.815,2,8.0,2.522,1,32.9,17.4,0.068,17.28
134,3,A,A,Spatial,18,Pool,7.3,2.135,0.292,0.505,1,5.2,1.352,0,0.0,0.000,1,1.3,0.427,1,0.8,0.356,1,7.3,5.0,0.442,0.94
135,4,A,A,Spatial,17,Pool,35.7,9.911,0.278,0.079,2,13.1,3.006,2,7.3,2.231,2,9.9,2.751,2,5.4,1.923,1,35.7,19.6,0.075,23.47
136,4,A,A,Spatial,18,Pool,28.7,7.277,0.254,0.132,2,12.3,2.858,2,13.6,3.575,1,0.1,0.039,1,2.7,0.804,1,28.7,17.7,0.130,12.49
137,5,A,A,Spatial,17,Pool,6.5,2.127,0.325,0.335,1,1.1,0.267,0,0.0,0.000,1,0.5,0.146,2,4.9,1.714,1,6.5,4.1,0.316,3.76
138,5,A,A,Spatial,18,Pool,13.9,3.698,0.266,0.183,2,11.1,2.942,2,2.8,0.756,0,0.0,0.000,0,0.0,0.000,1,13.9,9.0,0.143,2.44
139,6,A,A,Spatial,17,Pool,34.1,9.970,0.292,0.060,2,8.7,2.277,1,3.1,1.156,2,9.7,2.774,3,12.6,3.764,1,34.1,17.4,0.045,25.12
140,6,A,A,Spatial,18,Pool,60.0,16.961,0.283,0.093,5,22.8,6.145,3,14.8,4.430,2,11.1,2.968,4,11.3,3.418,0,,34.4,,
